source_file,requirement_text,label,reasons
0000 - cctns.pdf,"Registration Citizens can register their complaints with police and then based on the evidence, facts and following investigation, police shall take the complaint forward.",1,"vague_term,weak_modal"
0000 - cctns.pdf,The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.,1,weak_modal
0000 - cctns.pdf,The help should be accessible to the users both in the offline and online mode Support Module 1.,1,weak_modal
0000 - cctns.pdf,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.,1,"weak_modal,multiple_actions"
0000 - cctns.pdf,"The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any action has been taken on the alert 3.",1,weak_modal
0000 - cctns.pdf,The solution should enable the user to track the submitted defect or enhancement request.,1,weak_modal
0000 - cctns.pdf,"The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category-wise, status-wise, and agewise.",1,weak_modal
0000 - cctns.pdf,The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.,1,weak_modal
0000 - cctns.pdf,The System must keep an unalterable audit trail capable of automatically capturing and storing information about:,0,
0000 - cctns.pdf,"Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail information about them.",1,multiple_actions
0000 - cctns.pdf,"The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.",1,vague_condition
0000 - cctns.pdf,"The System must ensure that audit trail data is available for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by authorised external personnel who have little or no familiarity with the system.",1,weak_modal
0000 - cctns.pdf,The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System).,0,
0000 - cctns.pdf,This functionality can be used by external auditors who wish to examine or analyse system activity.,1,weak_modal
0000 - cctns.pdf,The System must be able to capture and store violations (i.e.,0,
0000 - cctns.pdf,"A user’s attempts to access a case to which he is denied access), and (where violations can validly be attempted) attempted violations, of access control mechanisms.",1,weak_modal
0000 - cctns.pdf,The System must at a minimum be able to provide reports for actions on cases organised:,0,
0000 - cctns.pdf,The System should be able to provide reports for actions on cases organised by workstation and (where technically appropriate) by network address.,1,"vague_term,weak_modal"
0000 - cctns.pdf,The System must allow the user to limit access to cases to specified users or user groups.,1,vague_term
0000 - cctns.pdf,The system should provide for role-based control for the functionality within E-Governance Mission Mode Project:,1,weak_modal
0000 - cctns.pdf,The System must allow a user to be a member of more than one group.,1,vague_term
0000 - cctns.pdf,The System must allow only admin-users to set up user profiles and allocate users to groups.,1,vague_term
0000 - cctns.pdf,The System should allow a user to stipulate which other users or groups can access cases.,1,"vague_term,weak_modal"
0000 - cctns.pdf,"The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management) to be made only by super-user.",1,vague_term
0000 - cctns.pdf,"If a user requests access to, or searches for, a case which he does not have the right to access, the System must provide one of the following responses (selectable at configuration time):",1,vague_term
0000 - cctns.pdf,the most stringent) implies that the System must not include such cases in any count of search results;,0,
0000 - cctns.pdf,"If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.",1,vague_term
0000 - cctns.pdf,"If the System allows users to make unauthorised attempts to access cases, it must log these in the audit trail.",1,vague_term
0000 - cctns.pdf,"Any access to cases, and all other activities involving the cases and related documents or data should also need to be stored in the audit trail to ensure legal admissibility and to assist in data recovery.",1,weak_modal
